Planning Area,Subzone,Age Group,Type of Dwelling,2024
Pasir Ris,Pasir Ris Park,30 - 34,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,30 - 34,3-Room Flats,-
Pasir Ris,Pasir Ris Park,30 - 34,4-Room Flats,-
Pasir Ris,Pasir Ris Park,30 - 34,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,30 - 34,Condominiums and Other Apartments,370
Pasir Ris,Pasir Ris Park,30 - 34,Landed Properties,20
Pasir Ris,Pasir Ris Park,30 - 34,Others,-
Pasir Ris,Pasir Ris Park,35 - 39,Total,710
Pasir Ris,Pasir Ris Park,35 - 39,Total HDB^,-
Pasir Ris,Pasir Ris Park,35 - 39,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,35 - 39,3-Room Flats,-
Pasir Ris,Pasir Ris Park,35 - 39,4-Room Flats,-
Pasir Ris,Pasir Ris Park,35 - 39,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,35 - 39,Condominiums and Other Apartments,690
Pasir Ris,Pasir Ris Park,35 - 39,Landed Properties,20
Pasir Ris,Pasir Ris Park,35 - 39,Others,-
Pasir Ris,Pasir Ris Park,40 - 44,Total,840
Pasir Ris,Pasir Ris Park,40 - 44,Total HDB^,-
Pasir Ris,Pasir Ris Park,40 - 44,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,40 - 44,3-Room Flats,-
Pasir Ris,Pasir Ris Park,40 - 44,4-Room Flats,-
Pasir Ris,Pasir Ris Park,40 - 44,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,40 - 44,Condominiums and Other Apartments,820
Pasir Ris,Pasir Ris Park,40 - 44,Landed Properties,20
Pasir Ris,Pasir Ris Park,40 - 44,Others,-
Pasir Ris,Pasir Ris Park,45 - 49,Total,850
Pasir Ris,Pasir Ris Park,45 - 49,Total HDB^,-
Pasir Ris,Pasir Ris Park,45 - 49,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,45 - 49,3-Room Flats,-
Pasir Ris,Pasir Ris Park,45 - 49,4-Room Flats,-
Pasir Ris,Pasir Ris Park,45 - 49,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,45 - 49,Condominiums and Other Apartments,840
Pasir Ris,Pasir Ris Park,45 - 49,Landed Properties,10
Pasir Ris,Pasir Ris Park,45 - 49,Others,-
Pasir Ris,Pasir Ris Park,50 - 54,Total,740
Pasir Ris,Pasir Ris Park,50 - 54,Total HDB^,-
Pasir Ris,Pasir Ris Park,50 - 54,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,50 - 54,3-Room Flats,-
Pasir Ris,Pasir Ris Park,50 - 54,4-Room Flats,-
Pasir Ris,Pasir Ris Park,50 - 54,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,50 - 54,Condominiums and Other Apartments,730
Pasir Ris,Pasir Ris Park,50 - 54,Landed Properties,20
Pasir Ris,Pasir Ris Park,50 - 54,Others,-
Pasir Ris,Pasir Ris Park,55 - 59,Total,580
Pasir Ris,Pasir Ris Park,55 - 59,Total HDB^,-
Pasir Ris,Pasir Ris Park,55 - 59,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,55 - 59,3-Room Flats,-
Pasir Ris,Pasir Ris Park,55 - 59,4-Room Flats,-
Pasir Ris,Pasir Ris Park,55 - 59,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,55 - 59,Condominiums and Other Apartments,560
Pasir Ris,Pasir Ris Park,55 - 59,Landed Properties,20
Pasir Ris,Pasir Ris Park,55 - 59,Others,-
Pasir Ris,Pasir Ris Park,60 - 64,Total,410
Pasir Ris,Pasir Ris Park,60 - 64,Total HDB^,-
Pasir Ris,Pasir Ris Park,60 - 64,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,60 - 64,3-Room Flats,-
Pasir Ris,Pasir Ris Park,60 - 64,4-Room Flats,-
Pasir Ris,Pasir Ris Park,60 - 64,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,60 - 64,Condominiums and Other Apartments,390
Pasir Ris,Pasir Ris Park,60 - 64,Landed Properties,20
Pasir Ris,Pasir Ris Park,60 - 64,Others,-
Pasir Ris,Pasir Ris Park,65 - 69,Total,210
Pasir Ris,Pasir Ris Park,65 - 69,Total HDB^,-
Pasir Ris,Pasir Ris Park,65 - 69,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,65 - 69,3-Room Flats,-
Pasir Ris,Pasir Ris Park,65 - 69,4-Room Flats,-
Pasir Ris,Pasir Ris Park,65 - 69,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,65 - 69,Condominiums and Other Apartments,190
Pasir Ris,Pasir Ris Park,65 - 69,Landed Properties,20
Pasir Ris,Pasir Ris Park,65 - 69,Others,-
Pasir Ris,Pasir Ris Park,70 - 74,Total,150
Pasir Ris,Pasir Ris Park,70 - 74,Total HDB^,-
Pasir Ris,Pasir Ris Park,70 - 74,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,70 - 74,3-Room Flats,-
Pasir Ris,Pasir Ris Park,70 - 74,4-Room Flats,-
Pasir Ris,Pasir Ris Park,70 - 74,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,70 - 74,Condominiums and Other Apartments,140
Pasir Ris,Pasir Ris Park,70 - 74,Landed Properties,20
Pasir Ris,Pasir Ris Park,70 - 74,Others,-
Pasir Ris,Pasir Ris Park,75 - 79,Total,100
Pasir Ris,Pasir Ris Park,75 - 79,Total HDB^,-
Pasir Ris,Pasir Ris Park,75 - 79,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,75 - 79,3-Room Flats,-
Pasir Ris,Pasir Ris Park,75 - 79,4-Room Flats,-
Pasir Ris,Pasir Ris Park,75 - 79,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,75 - 79,Condominiums and Other Apartments,90
Pasir Ris,Pasir Ris Park,75 - 79,Landed Properties,-
Pasir Ris,Pasir Ris Park,75 - 79,Others,-
Pasir Ris,Pasir Ris Park,80 - 84,Total,50
Pasir Ris,Pasir Ris Park,80 - 84,Total HDB^,-
Pasir Ris,Pasir Ris Park,80 - 84,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,80 - 84,3-Room Flats,-
Pasir Ris,Pasir Ris Park,80 - 84,4-Room Flats,-
Pasir Ris,Pasir Ris Park,80 - 84,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,80 - 84,Condominiums and Other Apartments,40
Pasir Ris,Pasir Ris Park,80 - 84,Landed Properties,-
Pasir Ris,Pasir Ris Park,80 - 84,Others,-
Pasir Ris,Pasir Ris Park,85 - 89,Total,20
Pasir Ris,Pasir Ris Park,85 - 89,Total HDB^,-
Pasir Ris,Pasir Ris Park,85 - 89,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,85 - 89,3-Room Flats,-
Pasir Ris,Pasir Ris Park,85 - 89,4-Room Flats,-
Pasir Ris,Pasir Ris Park,85 - 89,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,85 - 89,Condominiums and Other Apartments,20
Pasir Ris,Pasir Ris Park,85 - 89,Landed Properties,-
Pasir Ris,Pasir Ris Park,85 - 89,Others,-
Pasir Ris,Pasir Ris Park,90 & Over,Total,10
Pasir Ris,Pasir Ris Park,90 & Over,Total HDB^,-
Pasir Ris,Pasir Ris Park,90 & Over,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,90 & Over,3-Room Flats,-
Pasir Ris,Pasir Ris Park,90 & Over,4-Room Flats,-
Pasir Ris,Pasir Ris Park,90 & Over,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,90 & Over,Condominiums and Other Apartments,10
Pasir Ris,Pasir Ris Park,90 & Over,Landed Properties,-
Pasir Ris,Pasir Ris Park,90 & Over,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,Total,Total,10
Pasir Ris,Pasir Ris Wafer Fab Park,Total,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,Total,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,Total,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,Total,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,Total,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,Total,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,Total,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,Total,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,0 - 4,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,5 - 9,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,10 - 14,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,15 - 19,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,20 - 24,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,25 - 29,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,30 - 34,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,35 - 39,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,40 - 44,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,45 - 49,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,50 - 54,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,55 - 59,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,60 - 64,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,65 - 69,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,70 - 74,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,75 - 79,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,80 - 84,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,85 - 89,Others,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,Total,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,Total HDB^,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,3-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,4-Room Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,Landed Properties,-
Pasir Ris,Pasir Ris Wafer Fab Park,90 & Over,Others,-
Pasir Ris,Pasir Ris West,Total,Total,34970
Pasir Ris,Pasir Ris West,Total,Total HDB^,26810
Pasir Ris,Pasir Ris West,Total,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,Total,3-Room Flats,-
Pasir Ris,Pasir Ris West,Total,4-Room Flats,9820
Pasir Ris,Pasir Ris West,Total,5-Room and Executive Flats,16990
Pasir Ris,Pasir Ris West,Total,Condominiums and Other Apartments,6130
Pasir Ris,Pasir Ris West,Total,Landed Properties,2030
Pasir Ris,Pasir Ris West,Total,Others,-
Pasir Ris,Pasir Ris West,0 - 4,Total,1090
Pasir Ris,Pasir Ris West,0 - 4,Total HDB^,850
Pasir Ris,Pasir Ris West,0 - 4,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,0 - 4,3-Room Flats,-
Pasir Ris,Pasir Ris West,0 - 4,4-Room Flats,300
Pasir Ris,Pasir Ris West,0 - 4,5-Room and Executive Flats,550
Pasir Ris,Pasir Ris West,0 - 4,Condominiums and Other Apartments,200
Pasir Ris,Pasir Ris West,0 - 4,Landed Properties,50
Pasir Ris,Pasir Ris West,0 - 4,Others,-
Pasir Ris,Pasir Ris West,5 - 9,Total,1460
Pasir Ris,Pasir Ris West,5 - 9,Total HDB^,970
Pasir Ris,Pasir Ris West,5 - 9,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,5 - 9,3-Room Flats,-
Pasir Ris,Pasir Ris West,5 - 9,4-Room Flats,320
Pasir Ris,Pasir Ris West,5 - 9,5-Room and Executive Flats,660
Pasir Ris,Pasir Ris West,5 - 9,Condominiums and Other Apartments,430
Pasir Ris,Pasir Ris West,5 - 9,Landed Properties,60
Pasir Ris,Pasir Ris West,5 - 9,Others,-
Pasir Ris,Pasir Ris West,10 - 14,Total,1690
Pasir Ris,Pasir Ris West,10 - 14,Total HDB^,1080
Pasir Ris,Pasir Ris West,10 - 14,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,10 - 14,3-Room Flats,-
Pasir Ris,Pasir Ris West,10 - 14,4-Room Flats,370
Pasir Ris,Pasir Ris West,10 - 14,5-Room and Executive Flats,710
Pasir Ris,Pasir Ris West,10 - 14,Condominiums and Other Apartments,510
Pasir Ris,Pasir Ris West,10 - 14,Landed Properties,110
Pasir Ris,Pasir Ris West,10 - 14,Others,-
Pasir Ris,Pasir Ris West,15 - 19,Total,2020
Pasir Ris,Pasir Ris West,15 - 19,Total HDB^,1450
Pasir Ris,Pasir Ris West,15 - 19,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,15 - 19,3-Room Flats,-
Pasir Ris,Pasir Ris West,15 - 19,4-Room Flats,520
Pasir Ris,Pasir Ris West,15 - 19,5-Room and Executive Flats,930
Pasir Ris,Pasir Ris West,15 - 19,Condominiums and Other Apartments,440
Pasir Ris,Pasir Ris West,15 - 19,Landed Properties,130
Pasir Ris,Pasir Ris West,15 - 19,Others,-
Pasir Ris,Pasir Ris West,20 - 24,Total,2660
Pasir Ris,Pasir Ris West,20 - 24,Total HDB^,2110
Pasir Ris,Pasir Ris West,20 - 24,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,20 - 24,3-Room Flats,-
Pasir Ris,Pasir Ris West,20 - 24,4-Room Flats,710
Pasir Ris,Pasir Ris West,20 - 24,5-Room and Executive Flats,1390
Pasir Ris,Pasir Ris West,20 - 24,Condominiums and Other Apartments,400
Pasir Ris,Pasir Ris West,20 - 24,Landed Properties,150
Pasir Ris,Pasir Ris West,20 - 24,Others,-
Pasir Ris,Pasir Ris West,25 - 29,Total,3330
Pasir Ris,Pasir Ris West,25 - 29,Total HDB^,2850
Pasir Ris,Pasir Ris West,25 - 29,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,25 - 29,3-Room Flats,-
Pasir Ris,Pasir Ris West,25 - 29,4-Room Flats,1070
Pasir Ris,Pasir Ris West,25 - 29,5-Room and Executive Flats,1780
Pasir Ris,Pasir Ris West,25 - 29,Condominiums and Other Apartments,310
Pasir Ris,Pasir Ris West,25 - 29,Landed Properties,180
Pasir Ris,Pasir Ris West,25 - 29,Others,-
Pasir Ris,Pasir Ris West,30 - 34,Total,2590
Pasir Ris,Pasir Ris West,30 - 34,Total HDB^,2180
Pasir Ris,Pasir Ris West,30 - 34,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,30 - 34,3-Room Flats,-
Pasir Ris,Pasir Ris West,30 - 34,4-Room Flats,870
Pasir Ris,Pasir Ris West,30 - 34,5-Room and Executive Flats,1310
Pasir Ris,Pasir Ris West,30 - 34,Condominiums and Other Apartments,290
Pasir Ris,Pasir Ris West,30 - 34,Landed Properties,120
Pasir Ris,Pasir Ris West,30 - 34,Others,-
Pasir Ris,Pasir Ris West,35 - 39,Total,1830
Pasir Ris,Pasir Ris West,35 - 39,Total HDB^,1330
Pasir Ris,Pasir Ris West,35 - 39,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris West,35 - 39,3-Room Flats,-
Pasir Ris,Pasir Ris West,35 - 39,4-Room Flats,490
Pasir Ris,Pasir Ris West,35 - 39,5-Room and Executive Flats,840
Pasir Ris,Pasir Ris West,35 - 39,Condominiums and Other Apartments,420
